Posicao;Fluxo_Concatenado_estatorA;Fluxo_Concatenado_estatorB;Fluxo_Concatenado_estatorC;Tensao_A;Tensao_B;Tensao_C;Indutancia_A;Indutancia_B;Indutancia_C;R_A;R_B;R_C;Potencia_A;Potencia_B;Potencia_C
180;-0,4574725482395257;-0,4963804400195312;0,962584272676115;0,09406228986830115;-1,797770419134576;1,703708129445151;-0,8699713598122315;0,049389643776931065;0,10106459273331564;0,1788773961163075;0,17887739611630765;0,1788773961163075;0,049462450635827986;18,06812123882801;16,226876359773193
185;-0,2762211635836319;-0,6181862259325844;0,8937385397459583;0,4414710313822176;-1,931159815740502;1,489688785252672;-0,11192064480280402;0,05726068940979203;0,10731746414499051;0,1788773961163076;0,17887739611630754;0,17887739611630757;1,089554498115321;20,84879540345063;12,406110135148975
190;-0,1469654953854767;-0,7486300289016886;0,8746549744642227;0,7756366181458586;-2,006618688983465;1,230982070837606;-0,03389319755988321;0,06673564387673936;0,1270985240474519;0,1788773961163075;0,17887739611630757;0,17887739611630754;3,363265434709098;22,50993501917729;8,47125959804541
195;0,04104814704172397;-0,8166774865757439;0,7649707669121314;1,086534821162549;-2,021883436643083;0,9353486161960425;0,0067578005924988395;0,07225200999125045;0,14629409454501935;0,17887739611630749;0,1788773961163076;0,17887739611630749;6,5998160932034375;22,853712767115546;4,890931178643721
200;0,19506635398207;-0,911508337183255;0,7111904791048418;1,364839381912512;-1,976496152261811;0,6116567708859311;0,025565617414497546;0,08249357718559736;0,20798576440300384;0,17887739611630743;0,1788773961163075;0,17887739611630757;10,41376148615295;21,839187760569157;2,0915107973024485
205;0,3533065115368073;-0,918598825752766;0,5553484043069481;1,602201778746926;-1,871818353985095;0,269616574880415;0,039444812540445164;0,08778446139088393;0,36844647456794505;0,17887739611630762;0,17887739611630754;0,17887739611630757;14,350893939392405;19,58718108819816;0,40638503817989824
210;0,4974423188171663;-0,9655083848728878;0,4589644808830204;1,791501664365227;-1,710990142201019;-0,08051152234308573;0,04966849234806657;0,10094016415100597;-1,0197095876585178;0,17887739611630757;0,17887739611630757;0,1788773961163075;17,94233527044719;16,365887083942045;0,03623769895323429
215;0,6198447635680853;-0,8974736178898942;0,2773447119876047;1,927060460988417;-1,498836009321978;-0,4282244518453162;0,057536449710829184;0,10710827792551365;-0,11585209507113906;0,1788773961163075;0,17887739611630746;0,1788773961163075;20,7603761063824;12,558933837451068;1,0251501035882078
220;0,7504475530753327;-0,8773153725715566;0,1477515979290106;2,004811705303376;-1,241720110262361;-0,7630915945043838;0,06695796111967359;0,12638265912054078;-0,03463466417387356;0,17887739611630746;0,17887739611630754;0,1788773961163075;22,469412351620267;8,619696315499999;3,2553513984775417
225;0,8191334838248626;-0,7680080744581107;-0,04062471091651618;2,022423029252336;-0,9473553530332549;-1,075067676576837;0,07244995855908498;0,14501346734939885;0,006759427955143037;0,17887739611630743;0,1788773961163076;0,17887739611630749;22,865912619785227;5,017303384365079;6,461244038172534
